Date,Last Price,Open Interest,SMAVG (15)
2018-06-08,74.98,90632,234978
2018-06-07,75.61,92429,251281
2018-06-06,73.66,90067,267037
2018-06-05,74.01,92626,282531
2018-06-04,74.12,87436,298016
2018-06-01,75.24,82842,313667
2018-05-31,76.15,326055,329647
2018-05-30,76.26,324344,329238
2018-05-29,74.25,331007,328283
2018-05-28,73.98,332373,327161
2018-05-25,75.06,333017,325943
2018-05-24,77.35,334535,324423
2018-05-23,78.23,334530,322599
2018-05-22,77.97,337329,321175
2018-05-21,77.61,335455,319494
2018-05-18,77,335163,305988
2018-05-17,77.58,328771,292452
2018-05-16,77.38,322475,279235
2018-05-15,76.53,324903,266287
2018-05-14,76.01,322208,253049
2018-05-11,75.15,322540,239322
2018-05-10,75.32,319923,225240
2018-05-09,74.87,310019,211048
2018-05-08,72.53,314170,197332
2018-05-07,73.83,314104,183173
2018-05-04,72.54,310227,168947
2018-05-03,71.12,307161,154671
2018-05-02,70.92,313172,140440
2018-05-01,70.77,312116,125773
2018-04-30,72.54,132868,111145
2018-04-27,71.66,132119,108520
2018-04-26,71.74,130525,105988
2018-04-25,71.22,128255,103737
2018-04-24,71,126335,101604
2018-04-23,71.85,116298,99416
2018-04-20,71.22,111313,97542
2018-04-19,70.98,107035,96767
2018-04-18,70.61,104286,96105
2018-04-17,69,101783,95578
2018-04-16,68.82,100714,95280
2018-04-13,69.74,96089,94769
2018-04-12,69.22,93695,94310
2018-04-11,69.41,93157,93379
2018-04-10,68.31,92697,92014
2018-04-09,66.38,93494,90529
2018-04-06,65.09,94147,88999
2018-04-05,66.3,96753,87307
2018-04-04,65.91,96263,85398
2018-04-03,66.01,93523,83752
2018-04-02,65.44,88176,82307
2018-03-29,67.49,99690,81237
2018-03-28,67.05,97110,79351
2018-03-27,67.73,96380,77597
2018-03-26,67.72,97318,75800
2018-03-23,68.04,93046,73867
2018-03-22,66.79,89195,72014
2018-03-21,67.42,79730,70099
2018-03-20,65.57,72694,73345
2018-03-19,64.39,70409,76755
2018-03-16,64.71,70554,80087
2018-03-15,63.77,68766,83349
2018-03-14,63.64,68114,86508
2018-03-13,63.46,71582,89668
2018-03-12,63.64,71834,92406
2018-03-09,63.97,72127,94903
2018-03-08,62.31,71403,97424
2018-03-07,62.94,70809,99974
2018-03-06,64.25,69425,102817
2018-03-05,64.02,68322,105950
2018-03-02,62.81,65242,108764
2018-03-01,62.31,60467,111753
2018-02-28,63.44,128427,114936
2018-02-27,65.29,123846,113397
2018-02-26,66.02,120392,112202
2018-02-23,65.7,119482,111179
2018-02-22,64.79,116145,109928
2018-02-21,63.93,115515,108927
2018-02-20,63.86,112651,107583
2018-02-19,64.03,109297,106290
2018-02-16,63.18,109936,105148
2018-02-15,62.62,109648,103741
2018-02-14,62.64,113456,102369
2018-02-13,61.25,116428,100430
2018-02-12,61.1,110534,98020
2018-02-09,61.18,110070,95841
2018-02-08,63.18,108207,93692
2018-02-07,63.73,105341,91604
2018-02-06,65,105927,89575
2018-02-05,65.82,105046,87407
2018-02-02,66.74,100723,85113
2018-02-01,67.84,101124,83083
2018-01-31,67.5,95358,81017
2018-01-30,67.18,93252,79236
2018-01-29,68,92175,77611
2018-01-26,68.71,88823,75905
2018-01-25,68.54,89078,74347
2018-01-24,68.44,84359,72682
2018-01-23,68.08,80290,71214
2018-01-22,67.3,77848,69897
2018-01-19,66.99,77827,68713
2018-01-18,67.64,76894,69523
2018-01-17,67.63,74902,70282
2018-01-16,67.47,73401,71151
2018-01-15,68.42,70638,72085
2018-01-12,67.82,70275,73105
2018-01-11,67.27,70135,73938
2018-01-10,67.27,68650,74657
2018-01-09,66.92,68868,75289
2018-01-08,66.02,66589,75924
2018-01-05,65.76,65450,76411
2018-01-04,66.07,64097,76987
2018-01-03,65.87,62351,77532
2018-01-02,64.93,60531,78182
2017-12-29,65.12,60085,78857
2017-12-28,64.93,89982,79569
2017-12-27,64.8,88271,78213
2017-12-26,65.19,87940,76875
2017-12-22,63.63,87413,75252
2017-12-21,63.35,85942,73690
2017-12-20,63.04,82764,83306
2017-12-19,62.46,80921,93133
2017-12-18,61.99,78129,103191
2017-12-15,61.59,78392,113874
2017-12-14,61.62,73890,124306
2017-12-13,60.84,74104,135061
2017-12-12,61.8,72260,145796
2017-12-11,62.94,72100,156744
2017-12-08,62.23,70655,167558
2017-12-07,61.3,70776,178613
2017-12-06,60.51,69643,189752
2017-12-05,61.91,68199,200816
2017-12-04,61.5,63589,212112
2017-12-01,62.45,63990,223636
2017-11-30,61.63,230180,234551
2017-11-29,61.6,230171,234448
2017-11-28,62.38,231782,234417
2017-11-27,62.42,238374,233571
2017-11-24,62.51,234874,232057
2017-11-23,62.32,235222,230972
2017-11-22,62.05,235124,229685
2017-11-21,61.52,236476,228165
2017-11-20,61.36,234321,218118
2017-11-17,61.77,236470,208243
2017-11-16,60.7,237871,198233
2017-11-15,61.12,235598,188053
2017-11-14,61.36,237644,177708
2017-11-13,62.58,236450,166976
2017-11-10,62.76,227708,156177
2017-11-09,62.89,228634,145812
2017-11-08,62.39,229705,135201
2017-11-07,62.55,219096,124629
2017-11-06,62.79,215669,114628
2017-11-03,60.81,218596,104573
2017-11-02,59.48,215910,94294
2017-11-01,59.4,212329,84261
2017-10-31,60.06,85765,74027
2017-10-30,59.74,86202,72260
2017-10-27,59.22,86324,70424
2017-10-26,58.21,85169,68649
2017-10-25,57.6,80424,66931
2017-10-24,57.47,76661,65279
2017-10-23,56.72,74465,63856
2017-10-20,56.93,72226,62662
2017-10-19,56.34,69481,62230
2017-10-18,56.98,71112,61685
2017-10-17,56.68,69093,60892
2017-10-16,56.82,64842,60347
2017-10-13,56.33,64413,60105
2017-10-12,55.61,65405,59557
2017-10-11,56.17,58816,58559
2017-10-10,55.72,59274,57893
2017-10-09,54.92,58658,57061
2017-10-06,54.77,59702,56060
2017-10-05,56.08,59394,54978
2017-10-04,55.16,55648,53784
2017-10-03,55.29,55311,52877
2017-10-02,55.39,56555,52106
2017-09-29,56.21,65747,51232
2017-09-28,56.44,61306,49611
2017-09-27,56.96,59216,48202
2017-09-26,57.11,60925,46918
2017-09-25,57.4,61200,45516
2017-09-22,55.7,56203,44115
2017-09-21,55.5,50432,43023
2017-09-20,55.37,48831,47934
2017-09-19,54.57,46790,52547
2017-09-18,54.98,43634,57240
2017-09-15,55.28,43472,62104
2017-09-14,55.02,41493,66890
2017-09-13,54.63,42033,71516
2017-09-12,53.99,43755,75860
2017-09-11,53.76,43443,79806
2017-09-08,53.5,41438,83686
2017-09-07,54.35,40158,87489
2017-09-06,54.21,39965,91255
2017-09-05,53.65,39893,94981
2017-09-04,52.77,40179,98742
2017-09-01,53.19,39824,102430
2017-08-31,53.11,124100,106153
2017-08-30,51.13,118021,104145
2017-08-29,51.97,117190,102242
2017-08-28,51.57,116602,100268
2017-08-25,52.07,115262,98108
2017-08-24,51.76,110876,96058
2017-08-23,52.35,107192,94201
2017-08-22,51.73,102942,92311
2017-08-21,51.19,101646,90547
2017-08-18,52.33,98483,89597
2017-08-17,50.74,96645,88704
2017-08-16,50.27,95855,87996
2017-08-15,50.8,96319,87294
2017-08-14,50.92,95489,86508
2017-08-11,52.08,95676,85469
2017-08-10,51.93,93983,84606
2017-08-09,52.95,89469,83647
2017-08-08,52.73,87588,83116
2017-08-07,52.94,84200,82608
2017-08-04,52.92,84505,82206
2017-08-03,52.4,83018,81634
2017-08-02,52.85,78841,80902
2017-08-01,52.51,76482,80273
2017-07-31,53.23,87407,79783
2017-07-28,52.69,85080,78607
2017-07-27,52.12,86025,77590
2017-07-26,51.82,85334,76417
2017-07-25,51.18,84530,75371
2017-07-24,49.81,79900,74295
2017-07-21,49.38,82734,73444
2017-07-20,50.52,79595,73335
2017-07-19,50.93,81507,73315
2017-07-18,50.12,79968,73323
2017-07-17,49.8,78166,73610
2017-07-14,50.21,75926,73826
2017-07-13,49.68,72028,74114
2017-07-12,49.14,69409,74589
2017-07-11,48.99,69137,74961
2017-07-10,48.41,69760,75179
2017-07-07,48.12,69832,75123
2017-07-06,49.5,68427,75010
2017-07-05,49.23,69646,75146
2017-07-04,50.94,68390,75258
2017-07-03,51.07,67134,75382
2017-06-30,49.85,81096,75518
2017-06-29,48.77,79295,74779
2017-06-28,48.61,81633,73996
2017-06-27,48.04,84268,72910
2017-06-26,47.08,81407,71498
2017-06-23,46.8,80247,70480
2017-06-22,46.5,79160,69553
2017-06-21,46.24,74978,68634
2017-06-20,47.4,72408,86400
2017-06-19,48.26,68918,104770
2017-06-16,48.76,68142,123009
2017-06-15,48.38,70467,141304
2017-06-14,48.45,71328,159314
2017-06-13,50.03,70246,176588
2017-06-12,49.67,69181,194504
2017-06-09,49.6,70011,212567
2017-06-08,49.37,67544,230762
